,yil,kilometre,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca,fiyat_log,marka_Aston Martin,marka_Audi,marka_BMW,marka_Chery,marka_Chevrolet,marka_Citroen,marka_DS Automobiles,marka_Dacia,marka_Daewoo,marka_Ferrari,marka_Fiat,marka_Ford,marka_Geely,marka_Honda,marka_Hyundai,marka_Kia,marka_Lada,marka_MINI,marka_Maserati,marka_Mazda,marka_Mercedes - Benz,marka_Mitsubishi,marka_Nissan,marka_Opel,marka_Peugeot,marka_Porsche,marka_Proton,marka_Renault,marka_Rover,marka_Seat,marka_Skoda,marka_Suzuki,marka_Tata,marka_Tofaş,marka_Toyota,marka_Volkswagen,marka_Volvo,vites_tipi_Otomatik,vites_tipi_Yarı Otomatik,yakit_tipi_Dizel,yakit_tipi_Hibrit,yakit_tipi_LPG & Benzin,cekis_Arkadan İtiş,cekis_Önden Çekiş
0,17,400.0,45.0,1399.0,68.0,0,0,11.736069016284437,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,10,145.0,59.0,2143.0,204.0,0,0,14.22080898551534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,7,169.0,50.0,1598.0,90.0,20,20,13.151922179645874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,11,225.0,53.0,1560.0,95.0,6,0,12.911642346088676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,10,185.0,50.0,1598.0,105.0,2,1,13.473020249017498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
5,8,148.0,53.0,1560.0,95.0,0,0,13.142166004700508,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,9,140.0,50.0,1461.0,75.0,0,0,12.706544857216672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,17,210.0,55.0,1560.0,110.0,0,0,12.62115799701533,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
9,12,207.0,50.0,1461.0,65.0,1,0,12.449018824140563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10,3,101.0,50.0,1598.0,115.0,0,0,13.440089571204487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
11,8,33.0,55.0,1329.0,99.0,20,20,13.132313708257497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,14,292.0,45.0,1398.0,70.0,11,1,12.429216196844383,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13,12,260.0,75.0,2967.0,245.0,7,0,14.214286677921642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,13,178.98,56.0,1598.0,115.0,1,0,12.736700896592344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,19,290.0,55.0,1595.0,102.0,30,0,11.83862560460953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,11,168.0,50.0,1461.0,90.0,5,1,12.691580461311874,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,6,107.0,50.0,1461.0,90.0,0,0,12.969212197910155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
19,12,220.0,60.0,1461.0,110.0,4,1,12.818551923022664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
20,10,207.0,59.0,1595.0,156.0,11,0,13.81049801614073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21,3,19.0,45.0,1248.0,95.0,20,20,13.217673557208654,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,11,270.0,60.0,1560.0,114.0,20,20,12.936033799212835,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
23,5,158.9,49.0,1461.0,110.0,0,0,13.314470234933081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
24,8,218.0,60.0,1598.0,170.0,0,0,13.685401872617254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,24,202.0,45.0,1341.0,75.0,0,0,11.728036844587175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
28,6,200.0,49.0,1461.0,110.0,1,0,13.337474757021274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
29,3,17.0,45.0,1368.0,95.0,20,20,13.091904169919621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,23,233.0,50.0,1598.0,90.0,0,0,12.114505452004684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31,18,220.0,52.0,1364.0,90.0,1,0,12.468436909997665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,8,280.0,53.0,1499.0,120.0,0,0,13.068962600677214,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,6,72.0,49.0,1598.0,115.0,0,0,13.209458084255262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35,7,61.3,50.0,1461.0,90.0,2,2,12.911642346088676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
