fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca,fiyat_log
150900,13,Fiat,Albea Sole 1.3 Multijet Premio,Albea,229797,Düz,Dizel,Önden Çekiş,48.0,1248,70.0,0,0,11.924372644755941
210000,14,Peugeot,206 Sedan 1.4 Comfort,206,217000,Düz,Benzin,Önden Çekiş,50.0,1360,75.0,2,0,12.254862809699606
445750,12,Toyota,Corolla Sedan 1.4 D-4D Comfort Extra M-M,Corolla,174035,Düz,Dizel,Önden Çekiş,55.0,1364,90.0,1,3,13.007513535725387
205000,15,Fiat,Albea Sole 1.4 Fire Dynamic,Albea,206000,Düz,LPG & Benzin,Önden Çekiş,48.0,1368,77.0,0,0,12.230765258120545
402000,11,Ford,Fiesta 1.4 TDCi Titanium,Fiesta,81108,Düz,Dizel,Önden Çekiş,45.0,1398,68.0,2,0,12.904207367601158
230000,19,Renault,Clio 1.2 16V Authentique,Clio,92795,Düz,Benzin,Önden Çekiş,55.0,1149,75.0,2,0,12.345834587905333
420000,7,Renault,Symbol 1.5 dCi Touch,Symbol,216403,Düz,Dizel,Önden Çekiş,50.0,1461,75.0,4,1,12.948009990259552
450000,11,Ford,Focus 1.6 Ti-VCT Style Powershift,Focus,134554,Otomatik,LPG & Benzin,Önden Çekiş,55.0,1596,125.0,1,0,13.017002861746503
310000,12,Opel,Astra Classic III 1.6i 16V Essentia,Astra,277213,Düz,Dizel,Önden Çekiş,52.0,1598,115.0,1,1,12.644327576461329
225000,16,Toyota,Yaris 1.4 D-4D Terra,Yaris,226469,Düz,Dizel,Önden Çekiş,42.0,1364,90.0,4,0,12.323855681186558
479900,9,Fiat,500L Living 1.3 Mjet Lounge Dualogic,500L Living,133374,Otomatik,Dizel,Önden Çekiş,50.0,1248,85.0,3,0,13.081333027846338
370000,8,Fiat,Linea 1.3 Multijet Easy,Linea,99236,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,0,0,12.821258284620408
310000,10,Ford,Fiesta 1.5 TDCi Trend,Fiesta,236860,Düz,Dizel,Önden Çekiş,42.0,1498,75.0,2,2,12.644327576461329
330000,9,Fiat,Doblo Combi 1.6 Multijet Premio,Doblo,172000,Düz,Dizel,Önden Çekiş,60.0,1598,105.0,5,0,12.706847933442663
450000,13,Fiat,Doblo Combi 1.6 Multijet Premio,Doblo,144482,Düz,Dizel,Önden Çekiş,60.0,1598,105.0,1,3,13.017002861746503
250900,12,Ford,Focus 1.6 TDCi Collection,Focus,198928,Düz,Dizel,Önden Çekiş,55.0,1560,90.0,8,2,12.432809732354514
189900,16,Fiat,Linea 1.4 Fire Active,Linea,332016,Düz,LPG & Benzin,Önden Çekiş,45.0,1368,77.0,11,2,12.154252896800378
220000,11,Fiat,Doblo Combi 1.3 Multijet Dynamic,Doblo,275000,Düz,Dizel,Önden Çekiş,60.0,1248,90.0,3,3,12.301382825334498
520000,6,Fiat,Linea 1.3 Multijet Pop,Linea,96244,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,0,0,13.16158409055761
500000,10,Hyundai,i20 1.2 D-CVVT SENSE,i20,109331,Düz,Benzin,Önden Çekiş,45.0,1248,85.0,0,3,13.122363377404328
321000,11,Fiat,Linea 1.3 Multijet Active Plus,Linea,165750,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,0,1,12.679196402112153
345000,11,Fiat,Linea 1.3 Multijet Active Plus,Linea,71144,Düz,Dizel,Önden Çekiş,45.0,1248,95.0,0,0,12.751299696013497
365900,12,Toyota,Auris 1.4 D-4D Comfort Plus,Auris,158933,Düz,Dizel,Önden Çekiş,55.0,1364,90.0,1,1,12.810115351007298
320000,9,Nissan,Micra 1.2 Street,Micra,71652,Düz,Benzin,Önden Çekiş,41.0,1198,80.0,2,0,12.676076274775909
555000,5,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,118428,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,4,0,13.226723392728571
425000,4,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,78242,Düz,Benzin,Önden Çekiş,45.0,1248,94.0,2,0,12.959844447906553
394900,5,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,151075,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,12.88638784727474
389900,5,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,181181,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,12.87364557497069
409900,5,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,167877,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,0,0,12.92366850649243
290000,6,Fiat,1.3 MultiJet Easy ESP 90 Ps Combi,Doblo,170000,Düz,Dizel,Önden Çekiş,60.0,1248,89.0,4,0,12.577636201962656
480000,5,Fiat,1.4 Fire Urban 95 Ps Sedan,Egea,52197,Düz,LPG & Benzin,Önden Çekiş,45.0,1368,94.0,0,2,13.081541382884074
458000,3,Fiat,1.4 16V Fire Urban Plus 95 Ps Hatchback,Egea,41000,Düz,LPG & Benzin,Önden Çekiş,50.0,1368,94.0,0,0,13.034624463096321
330000,19,Renault,1.6 Authentique 115 Ps Sedan,Megane,200970,Düz,LPG & Benzin,Önden Çekiş,60.0,1598,114.0,7,0,12.706847933442663
400000,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,11993,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.89921982609012
400000,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,6040,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.89921982609012
400000,2,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,17673,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.89921982609012
