,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
0,125000,2006.0,Ford,Fiesta,1.4 TDCi Comfort,400.0,Düz,Dizel,Önden Çekiş,45.0,1399.0,68.0,,0,0
1,1499750,2013.0,Mercedes - Benz,E,250 CDI Premium,145.0,Otomatik,Dizel,4WD (Sürekli),59.0,2143.0,204.0,,0,0
2,515000,2016.0,Volkswagen,Golf,1.6 TDi BlueMotion Midline Plus,169.0,Düz,Dizel,Önden Çekiş,50.0,1598.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
3,405000,2012.0,Ford,Focus,1.6 TDCi Trend X,225.0,Düz,Dizel,Önden Çekiş,53.0,1560.0,95.0,6 boyalı,6,0
4,710000,2013.0,Audi,A3,A3 Sedan 1.6 TDI Ambition,185.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,105.0,"1 değişen, 2 boyalı",2,1
5,510000,2015.0,Ford,Focus,1.6 TDCi Trend X,148.0,Düz,Dizel,Önden Çekiş,53.0,1560.0,95.0,,0,0
6,329900,2014.0,Renault,Symbol,1.5 dCi Joy,140.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,75.0,,0,0
7,302900,2006.0,Ford,C-Max,1.6 TDCi Ghia,210.0,Otomatik,Dizel,Önden Çekiş,55.0,1560.0,110.0,,0,0
8,55000,1988.0,Tofaş,Kartal,Kartal 5 Vites,129.4,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,83.0,,0,0
9,255000,2011.0,Renault,Symbol,1.5 dCi Authentique,207.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,1 boyalı,1,0
10,687000,2020.0,Skoda,Scala,1.6 TDI Premium,101.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,115.0,,0,0
11,505000,2015.0,Toyota,Corolla,1.33 Life,33.0,Düz,Benzin,Önden Çekiş,55.0,1329.0,99.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
12,250000,2009.0,Ford,Fiesta,1.4 TDCi Titanium,292.0,Düz,Dizel,Önden Çekiş,45.0,1398.0,70.0,"1 değişen, 11 boyalı",11,1
13,1490000,2011.0,Audi,A7,3.0 TDI,260.0,Yarı Otomatik,Dizel,4WD (Sürekli),75.0,2967.0,245.0,7 boyalı,7,0
14,150000,1981.0,Mercedes - Benz,E,200,500.0,Düz,LPG & Benzin,Önden Çekiş,,1997.0,98.0,,0,0
15,340000,2010.0,Opel,Astra,1.6 Enjoy,178.98,Düz,Benzin,Önden Çekiş,56.0,1598.0,115.0,1 boyalı,1,0
16,138500,2004.0,Skoda,Octavia,1.6 Ambiente,290.0,Düz,Benzin,Önden Çekiş,55.0,1595.0,102.0,Tamamı boyalı,Tamamı,0
17,325000,2012.0,Dacia,Sandero,1.5 dCi Stepway,168.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,"1 değişen, 5 boyalı",5,1
18,429000,2017.0,Dacia,Sandero,1.5 dCi Stepway,107.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1461.0,90.0,,0,0
19,369000,2011.0,Renault,Fluence,1.5 dCi Dynamique,220.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,"1 değişen, 4 boyalı",4,1
20,995000,2013.0,Mercedes - Benz,E,180 Elite,207.0,Otomatik,Benzin,Arkadan İtiş,59.0,1595.0,156.0,11 boyalı,11,0
21,550000,2020.0,Fiat,Egea,1.3 Multijet Urban Plus,19.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
22,415000,2012.0,DS Automobiles,DS4,1.6 e-HDi D-Sport,270.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1560.0,114.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
23,605900,2018.0,Renault,Megane,1.5 dCi Touch Plus,158.9,Yarı Otomatik,Dizel,Önden Çekiş,49.0,1461.0,110.0,,0,0
24,878000,2015.0,BMW,3 Serisi,320i ED Modern Line,218.0,Otomatik,Benzin,Arkadan İtiş,60.0,1598.0,170.0,,0,0
25,120000,2000.0,Fiat,Uno,1.4 ie S,252.0,Düz,LPG & Benzin,Önden Çekiş,,1372.0,71.0,,0,0
26,175000,1997.0,Peugeot,406,2.0 SV,330.0,Düz,LPG & Benzin,Önden Çekiş,,1998.0,149.0,,0,0
