fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca
0,150900,2010,Fiat,Albea Sole 1.3 Multijet Premio,Albea,229797,Düz,Dizel,Önden Çekiş,48.0,1.248,70.0,0,0
1,170900,2016,Fiat,Fiorino Cargo 1.3 Multijet,Fiorino,221283,Düz,Dizel,,45.0,1.248,75.0,0,0
2,160900,2016,Fiat,Fiorino Cargo 1.3 Multijet,Fiorino,264528,Düz,Dizel,,45.0,1.248,75.0,0,0
3,149900,2001,Renault,Kangoo 1.9 DCI 65 Hp,Kangoo,249790,Düz,Dizel,,,,,6,5
4,210000,2009,Peugeot,206 Sedan 1.4 Comfort,206,217000,Düz,Benzinli,Önden Çekiş,50.0,1.36,75.0,2,0
5,445750,2011,Toyota,Corolla Sedan 1.4 D-4D Comfort Extra M-M,Corolla,174035,Düz,Dizel,Önden Çekiş,55.0,1.364,90.0,1,3
6,205000,2008,Fiat,Albea Sole 1.4 Fire Dynamic,Albea,206000,Düz,Benzinli/LPG,Önden Çekiş,48.0,1.368,77.0,0,0
7,402000,2012,Ford,Fiesta 1.4 TDCi Titanium,Fiesta,81108,Düz,Dizel,Önden Çekiş,45.0,1.398,68.0,2,0
8,230000,2004,Renault,Clio 1.2 16V Authentique,Clio,92795,Düz,Benzinli,Önden Çekiş,55.0,1.149,75.0,2,0
9,420000,2016,Renault,Symbol 1.5 dCi Touch,Symbol,216403,Düz,Dizel,Önden Çekiş,50.0,1.461,75.0,4,1
10,450000,2012,Ford,Focus 1.6 Ti-VCT Style Powershift,Focus,134554,Otomatik,Benzinli/LPG,Önden Çekiş,55.0,1.596,125.0,1,0
11,210000,2011,Peugeot,Bipper Kombi 1.4 HDi Connect Pack,Bipper,293942,Düz,Dizel,,45.0,1.398,70.0,1,0
12,310000,2011,Opel,Astra Classic III 1.6i 16V Essentia,Astra,277213,Düz,Dizel,Önden Çekiş,52.0,1.598,115.0,1,1
13,225000,2007,Toyota,Yaris 1.4 D-4D Terra,Yaris,226469,Düz,Dizel,Önden Çekiş,42.0,1.364,90.0,4,0
14,479900,2014,Fiat,500L Living 1.3 Mjet Lounge Dualogic,500L Living,133374,Otomatik,Dizel,Önden Çekiş,50.0,1.248,85.0,3,0
15,460000,2015,Ford,Tourneo Courier 1.5 TDCi Delux,Tourneo Courier,204600,Düz,Dizel,,45.0,1.498,75.0,3,2
16,370000,2015,Fiat,Linea 1.3 Multijet Easy,Linea,99236,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,0,0
17,310000,2013,Ford,Fiesta 1.5 TDCi Trend,Fiesta,236860,Düz,Dizel,Önden Çekiş,42.0,1.498,75.0,2,2
18,330000,2014,Fiat,Doblo Combi 1.6 Multijet Premio,Doblo,172000,Düz,Dizel,Önden Çekiş,60.0,1.598,105.0,5,0
19,450000,2010,Fiat,Doblo Combi 1.6 Multijet Premio,Doblo,144482,Düz,Dizel,Önden Çekiş,60.0,1.598,105.0,1,3
20,250900,2011,Ford,Focus 1.6 TDCi Collection,Focus,198928,Düz,Dizel,Önden Çekiş,55.0,1.56,90.0,8,2
21,189900,2007,Fiat,Linea 1.4 Fire Active,Linea,332016,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.368,77.0,11,2
22,220000,2012,Fiat,Doblo Combi 1.3 Multijet Dynamic,Doblo,275000,Düz,Dizel,Önden Çekiş,60.0,1.248,90.0,3,3
23,520000,2017,Fiat,Linea 1.3 Multijet Pop,Linea,96244,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,0,0
24,310000,2014,Fiat,Fiorino Combi 1.3 Multijet Emotion,Fiorino,196289,Düz,Dizel,,45.0,1.248,95.0,1,2
25,500000,2013,Hyundai,i20 1.2 D-CVVT SENSE,i20,109331,Düz,Benzinli,Önden Çekiş,45.0,1.248,85.0,0,3
26,321000,2012,Fiat,Linea 1.3 Multijet Active Plus,Linea,165750,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,0,1
27,345000,2012,Fiat,Linea 1.3 Multijet Active Plus,Linea,71144,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,0,0
28,365900,2011,Toyota,Auris 1.4 D-4D Comfort Plus,Auris,158933,Düz,Dizel,Önden Çekiş,55.0,1.364,90.0,1,1
29,320000,2014,Nissan,Micra 1.2 Street,Micra,71652,Düz,Benzinli,Önden Çekiş,41.0,1.198,80.0,2,0
30,555000,2018,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,118428,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,4,0
31,425000,2019,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,78242,Düz,Benzinli,Önden Çekiş,45.0,1.248,94.0,2,0
32,394900,2018,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,151075,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
33,389900,2018,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,181181,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
34,409900,2018,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,167877,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
